Fuel Type,Energy Generation,Energy Units,Location,Period
solar photovoltaic,151.40151,thousand megawatthours,CO,2020-04
renewable,1199.50666,thousand megawatthours,CO,2020-04
estimated small scale solar photovoltaic,61.90497,thousand megawatthours,CO,2020-04
biomass,14.89221,thousand megawatthours,CO,2020-03
wood and wood wastes,8.15,thousand megawatthours,CO,2020-03
onshore wind turbine,897.91668,thousand megawatthours,CO,2020-03
wind,897.91668,thousand megawatthours,CO,2020-03
renewable waste products,6.74221,thousand megawatthours,CO,2020-03
estimated total solar,178.85017,thousand megawatthours,CO,2020-03
estimated total solar photovoltaic,178.85017,thousand megawatthours,CO,2020-03
solar,121.58501,thousand megawatthours,CO,2020-03
solar photovoltaic,121.58501,thousand megawatthours,CO,2020-03
renewable,1168.20272,thousand megawatthours,CO,2020-03
estimated small scale solar photovoltaic,57.26516,thousand megawatthours,CO,2020-03
biomass,14.27569,thousand megawatthours,CO,2020-02
wood and wood wastes,7.861,thousand megawatthours,CO,2020-02
onshore wind turbine,995.44727,thousand megawatthours,CO,2020-02
wind,995.44727,thousand megawatthours,CO,2020-02
renewable waste products,6.41469,thousand megawatthours,CO,2020-02
estimated total solar,120.82431,thousand megawatthours,CO,2020-02
estimated total solar photovoltaic,120.82431,thousand megawatthours,CO,2020-02
solar,79.21444,thousand megawatthours,CO,2020-02
solar photovoltaic,79.21444,thousand megawatthours,CO,2020-02
renewable,1219.14129,thousand megawatthours,CO,2020-02
estimated small scale solar photovoltaic,41.60987,thousand megawatthours,CO,2020-02
biomass,14.9442,thousand megawatthours,CO,2020-01
wood and wood wastes,8.053,thousand megawatthours,CO,2020-01
onshore wind turbine,1234.55397,thousand megawatthours,CO,2020-01
wind,1234.55397,thousand megawatthours,CO,2020-01
renewable waste products,6.8912,thousand megawatthours,CO,2020-01
estimated total solar,116.70021,thousand megawatthours,CO,2020-01
estimated total solar photovoltaic,116.70021,thousand megawatthours,CO,2020-01
solar,75.13844,thousand megawatthours,CO,2020-01
solar photovoltaic,75.13844,thousand megawatthours,CO,2020-01
renewable,1446.2416,thousand megawatthours,CO,2020-01
estimated small scale solar photovoltaic,41.56177,thousand megawatthours,CO,2020-01
biomass,14.57756,thousand megawatthours,CO,2019-12
wood and wood wastes,7.955,thousand megawatthours,CO,2019-12
onshore wind turbine,889.49184,thousand megawatthours,CO,2019-12
wind,889.49184,thousand megawatthours,CO,2019-12
renewable waste products,6.62256,thousand megawatthours,CO,2019-12
estimated total solar,91.90297,thousand megawatthours,CO,2019-12
estimated total solar photovoltaic,91.90297,thousand megawatthours,CO,2019-12
solar,54.56655,thousand megawatthours,CO,2019-12
solar photovoltaic,54.56655,thousand megawatthours,CO,2019-12
renewable,1062.21914,thousand megawatthours,CO,2019-12
